epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1033.66,1.49364,1.04277,1.02378,0.55282,0.26741,0.26192,0.1261,1.46555,1.04221,1.01158,0.000333233,0.000333233,0.0670099
2,2127.99,1.46939,0.96437,1.01492,0.49778,0.34359,0.34746,0.17417,1.37183,0.84217,0.9815,0.000666404,0.000666404,0.0340097
3,3099.72,1.44089,0.92369,1.00284,0.6465,0.35917,0.37914,0.18954,1.34215,0.79998,0.96676,0.000998923,0.000998923,0.00100892
4,4155.21,1.41641,0.89236,0.99226,0.52474,0.38359,0.40293,0.20577,1.31809,0.76733,0.95648,0.000997803,0.000997803,0.000997803
5,5125.86,1.39241,0.86373,0.98336,0.65324,0.38983,0.41988,0.21776,1.30302,0.74723,0.9514,0.000996097,0.000996097,0.000996097
6,6094.5,1.37711,0.84394,0.97707,0.64907,0.40134,0.43237,0.2257,1.29371,0.73499,0.94785,0.000993906,0.000993906,0.000993906
7,7278.69,1.36359,0.82837,0.9718,0.63941,0.41167,0.43919,0.22935,1.28563,0.72463,0.94393,0.000991232,0.000991232,0.000991232
8,8228.68,1.35286,0.81772,0.96775,0.6538,0.41084,0.44393,0.23307,1.28009,0.71797,0.94104,0.000988079,0.000988079,0.000988079
9,9294.24,1.34794,0.81033,0.9654,0.6552,0.41428,0.4476,0.23545,1.27752,0.71345,0.94007,0.000984449,0.000984449,0.000984449
10,1052.64,1.34658,0.81005,0.96665,0.66403,0.41097,0.44905,0.23567,1.27686,0.71326,0.94041,0.000980345,0.000980345,0.000980345
11,2351.73,1.34033,0.80199,0.96278,0.66775,0.41308,0.4517,0.23732,1.27545,0.7108,0.93976,0.000975773,0.000975773,0.000975773
12,3455.37,1.33473,0.79394,0.95987,0.66989,0.41492,0.45421,0.23852,1.27407,0.70915,0.93884,0.000970736,0.000970736,0.000970736
13,4717.04,1.32848,0.7857,0.95701,0.67048,0.41753,0.45622,0.23983,1.27246,0.70784,0.93805,0.000965239,0.000965239,0.000965239
14,5697.28,1.32334,0.77988,0.95558,0.66669,0.42125,0.4579,0.24134,1.27127,0.70789,0.93724,0.000959289,0.000959289,0.000959289
15,6842.22,1.31924,0.77429,0.95372,0.67136,0.42126,0.45954,0.24272,1.26975,0.70897,0.93645,0.000952889,0.000952889,0.000952889
16,975.525,1.32108,0.78256,0.9568,0.67112,0.42075,0.46041,0.2429,1.26961,0.70662,0.9367,0.000946048,0.000946048,0.000946048
17,1927.85,1.32073,0.77951,0.95559,0.66927,0.42253,0.46157,0.24389,1.26941,0.70442,0.93663,0.000938772,0.000938772,0.000938772
18,2829.65,1.31903,0.77602,0.95412,0.67471,0.42322,0.46383,0.24456,1.26874,0.70279,0.93619,0.000931067,0.000931067,0.000931067
19,3709.88,1.3154,0.77022,0.95216,0.67307,0.42636,0.46473,0.2455,1.26795,0.70142,0.93565,0.000922942,0.000922942,0.000922942
20,4590.8,1.31306,0.76762,0.95201,0.67319,0.4264,0.466,0.24611,1.26669,0.70038,0.93494,0.000914405,0.000914405,0.000914405
